class,skillId,skillName,placeholderKey,placeholderType,level,value,ratio
gladiator,11010000,"Rending Blow",{se_dmg:1101000011:SkillUIMaxDmgsum},damage,1,67,1.0000
gladiator,11010000,"Rending Blow",{se_dmg:1101000011:SkillUIMaxDmgsum},damage,2,98,1.4627
gladiator,11010000,"Rending Blow",{se_dmg:1101000011:SkillUIMaxDmgsum},damage,3,129,1.3163
gladiator,11010000,"Rending Blow",{se_dmg:1101000011:SkillUIMaxDmgsum},damage,4,160,1.2403
gladiator,11010000,"Rending Blow",{se_dmg:1101000011:SkillUIMaxDmgsum},damage,5,207,1.2937
gladiator,11010000,"Rending Blow",{se_dmg:1101000011:SkillUIMaxDmgsum},damage,6,264,1.2754
gladiator,11010000,"Rending Blow",{se_dmg:1101000011:SkillUIMaxDmgsum},damage,7,331,1.2538
gladiator,11010000,"Rending Blow",{se_dmg:1101000011:SkillUIMaxDmgsum},damage,8,388,1.1722
gladiator,11010000,"Rending Blow",{se_dmg:1101000011:SkillUIMaxDmgsum},damage,9,445,1.1469
gladiator,11010000,"Rending Blow",{se_dmg:1101000011:SkillUIMaxDmgsum},damage,10,502,1.1281
gladiator,11010000,"Rending Blow",{se_dmg:1101000011:SkillUIMaxDmgsum},damage,11,559,1.1135
gladiator,11010000,"Rending Blow",{se_dmg:1101000011:SkillUIMaxDmgsum},damage,12,626,1.1199
gladiator,11010000,"Rending Blow",{se_dmg:1101000011:SkillUIMaxDmgsum},damage,13,683,1.0911
gladiator,11010000,"Rending Blow",{se_dmg:1101000011:SkillUIMaxDmgsum},damage,14,724,1.0600
gladiator,11010000,"Rending Blow",{se_dmg:1101000011:SkillUIMaxDmgsum},damage,15,755,1.0428
gladiator,11010000,"Rending Blow",{se_dmg:1101000011:SkillUIMaxDmgsum},damage,16,797,1.0556
gladiator,11010000,"Rending Blow",{se_dmg:1101000011:SkillUIMaxDmgsum},damage,17,838,1.0514
gladiator,11010000,"Rending Blow",{se_dmg:1101000011:SkillUIMaxDmgsum},damage,18,879,1.0489
gladiator,11010000,"Rending Blow",{se_dmg:1101000011:SkillUIMaxDmgsum},damage,19,921,1.0478
gladiator,11010000,"Rending Blow",{se_dmg:1101000011:SkillUIMaxDmgsum},damage,20,952,1.0337
gladiator,11010000,"Rending Blow",{se_dmg:1101000011:SkillUIMaxDmgsum},damage,21,983,1.0326
gladiator,11010000,"Rending Blow",{se_dmg:1101000011:SkillUIMaxDmgsum},damage,22,1014,1.0315
gladiator,11010000,"Rending Blow",{se_dmg:1101000011:SkillUIMaxDmgsum},damage,23,1045,1.0306
gladiator,11010000,"Rending Blow",{se_dmg:1101000011:SkillUIMaxDmgsum},damage,24,1076,1.0297
gladiator,11010000,"Rending Blow",{se_dmg:1101000011:SkillUIMaxDmgsum},damage,25,1107,1.0288
gladiator,11010000,"Rending Blow",{se_dmg:1101000011:SkillUIMaxDmgsum},damage,26,1138,1.0280
gladiator,11010000,"Rending Blow",{se_dmg:1101000011:SkillUIMaxDmgsum},damage,27,1169,1.0272
